Genomic bins	17119-05-25-243200085	17119-05-08-243200071	17119-05-35-243200067	17119-05-33-243200064	17119-05-16-243200072	17119-05-04-243200101	17119-05-28-243200078	17119-05-01-243200068	17119-05-38-243200077	17119-05-32-243200092	17119-05-15-243200093	17119-05-36-243200079	17119-05-02-243200066	17119-05-23-243200073	17119-05-12-243200081	17119-05-22-243200094	17119-05-20-243200063	17119-05-26-243200098	17119-05-30-243200082	17119-05-14-243200089	17119-05-06-243200069	17119-05-09-243200070	17119-05-13-243200076	17119-05-05-243200087	17119-05-07-243200099	17119-05-40-243200090	17119-05-11-243200091	17119-05-21-243200075	17119-05-27-243200083	17119-05-37-243200074	17119-05-24-243200088	17119-05-34-243200097	17119-05-31-243200080	17119-05-19-243200062	17119-05-18-243200100	17119D-05-29-243200065	17119-05-39-243200084	17119-05-10-243200096	17119-05-17-243200086	17119-05-03-243200095
sinASSsinBIN_bin.454	5.134649	0.0	0.35671	0.000437	0.0	0.049445	0.0	0.04319	0.11923600000000001	0.067792	0.091325	33.081681	2.8e-05	0.010156	0.002468	1.229841	5.250593	0.000475	0.0	0.00017	6.369784	0.010656	0.0	0.041043	0.0	5.217148	0.0	0.000929	0.000281	0.756251	0.003895	16.15032	15.386628	0.005204	10.882024	0.842464	0.403929	0.0	0.55982	0.0
sinASSsinBIN_bin.154	0.0	0.0	0.0	0.0	0.0	0.0	2.097587	0.0	0.0	0.0	0.0	14.751815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.205401	0.0	0.0	0.0	0.0	0.0	0.061994	0.0	0.0	0.351191	0.0	0.0	0.0	4.081464	0.0	0.0	0.0	0.048726	0.0	0.0	0.0
sinASSsinBIN_bin.109	0.005418	0.357597	0.0	0.004178	14.33241	0.0	0.003186	0.0	0.0	0.002573	0.0	0.55363	0.0	0.0	0.536713	0.0	0.0	0.005218	0.0	0.0	0.144073	0.0	0.015968	0.0	0.0	0.005357	0.0	0.31851	0.019085	0.055524	0.0	0.0	2.601824	0.0	0.0	0.057454	0.019582	0.002039	0.023269	0.0
sinASSsinBIN_bin.535	0.0	3.387205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.256713	0.0	0.0	0.0	0.002802	0.0	0.0	0.0	0.132203	0.0	0.443672	0.0	0.0	0.0	0.0	0.0	0.0	3.014781	0.189327	0.0	11.532013	0.0	0.0	0.0	0.00016	0.0	1.266859	0.0	0.0	0.0	0.0
sinASSsinBIN_bin.179	0.0	0.0	0.0	0.0	0.17983	0.0	0.0	4.160876	0.0	0.0	0.0	0.0	4.418689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.175866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.572547	0.0	0.0
sinASSsinBIN_bin.67	0.0	0.0	16.640137	1.037738	0.0	0.0	2.779868	0.0	0.036851	0.16102	0.0	0.0	0.0	0.0	0.355725	0.0	0.0	0.0	0.209298	0.219663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.538043	0.0	0.0	0.0	0.631241	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sinASSsinBIN_bin.423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.353606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.643309	0.003024	0.0	0.0	0.0	0.0	0.0	0.77303	0.0	0.0	1.8e-05	0.0	0.0	0.0
sinASSsinBIN_bin.248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.977321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.754212	0.0	0.0
sinASSsinBIN_bin.50	0.0	0.086461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053085	0.038797	0.0	0.0	0.0	0.0	0.667968	0.0	0.0	0.0	0.0	0.0	2.092267	0.0	0.0	0.0	0.269768	0.0	0.0	0.0	0.397329	0.0	0.0	10.050408	0.0	0.0	0.0
sinASSsinBIN_bin.415	0.883294	19.542766	0.0	0.0	0.0	0.0	0.11662	0.0	0.0	122.516273	0.0	0.0	0.0	48.77097	0.0	2e-06	0.040606	32.18133	0.0	40.63888	0.0	0.0	0.0	0.0	0.0	0.45641	9.003925	20.78517	0.299583	3.864619	0.151039	0.0	0.33191	255.116662	0.112411	0.0	5.562793	0.0	41.198553	0.0
sinASSsinBIN_bin.410	8e-06	1.889629	0.0	0.0	0.0	0.0	8e-06	0.0	0.0	121.53257	0.0	0.0	0.0	0.479927	0.0	0.0	2.3e-05	94.848615	0.002052	0.0	0.0	0.0	0.001679	0.0	0.0	0.000185	47.337224	111.801653	0.004858	1.242968	1e-05	0.0	0.0	110.919166	1e-06	0.011396	20.377123	0.0	27.752416	0.0
