Archaea;;;;;;
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Leifsonia;poae
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Limnoluna;rubra
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Nocardia;farcinica
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Planktoluna;difficilis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Pseudoclavibacter;helvolus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Pseudoclavibacter;soli
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Schumannella;luteola
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Zimmermannella;alba
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Acaricomes;phytoseiuli
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;aurescens
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;castelli
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;cryotolerans
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;dextranolyticus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;flavus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;gangotriensis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;ilicis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;kerguelensis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;keyseri
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;nasiphocae
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;phenanthrenivorans
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;pigmenti
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;polychromogenes
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;psychrophenolicus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;sanguinis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;soli
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;subterraneus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;tecti
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;tumbae
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;woluwensis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Bacillus;cereus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria;kristinae
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus;lylae
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus;terreus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia;nasimurium
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia;terrae
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Actinaurispora;siamensis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Actinoplanes;durhamensis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Actinoplanes;ferrugineus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Actinoplanes;friuliensis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Actinoplanes;humidus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Actinoplanes;rishiriensis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Actinoplanes;tereljensis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Actinoplanes;toevensis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Asanoa;ferruginea
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Catenuloplanes;atrovinosus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Catenuloplanes;castaneus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Catenuloplanes;crispus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Catenuloplanes;indicus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Catenuloplanes;japonicus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Catenuloplanes;nepalensis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Catenuloplanes;niger
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Krasilnikovia;cinnamomea
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Longispora;albida
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Longispora;fulva
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora;aquatica
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora;arenincolae
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora;aurantiaca
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora;auratinigra
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora;brunnescens
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora;chersina
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora;citrea
