Archaea;;;;;
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Penicillium
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Phytohabitans
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Phytohabitans
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Phytohabitans
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Phytohabitans
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Polymorphospora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Rugosimonospora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Salinispora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Spirilliplanes
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nakamurellaceae;Humicoccus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nakamurellaceae;Nakamurella
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nakamurellaceae;Saxeibacter
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae;Rhodococcus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae;Segniliparus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae;Segniliparus
