""	"17119-05-33-243200064"	"17119-05-40-243200090"	"17119-05-06-243200069"	"17119-05-09-243200070"	"17119-05-15-243200093"	"17119-05-18-243200100"	"17119-05-20-243200063"	"17119-05-28-243200078"	"17119-05-31-243200080"	"17119-05-34-243200097"	"17119-05-36-243200079"	"17119-05-39-243200084"	"17119-05-14-243200089"	"17119-05-17-243200086"	"17119-05-23-243200073"	"17119-05-26-243200098"	"17119-05-35-243200067"	"17119-05-37-243200074"	"17119D-05-29-243200065"	"REF_GCF_003795065"	"REF_GCF_003971565"
"g007242"	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"g007245"	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0
"g007246"	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0
"g007262"	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
"g007305"	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g007306"	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g007309"	0	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g007320"	0	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	1
"g007333"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1
"g007358"	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g007385"	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0
"g007496"	0	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g007539"	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
"g007625"	1	0	0	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	0	0
"g007629"	1	1	0	0	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0
"g007713"	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0
"g007715"	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0
"g007780"	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0
"g007783"	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g007906"	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
"g007919"	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0
"g007926"	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0
"g007951"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0
"g007952"	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0
"g008050"	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0
"g008051"	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0
"g008058"	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008063"	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008064"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008065"	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008072"	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008076"	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008079"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008085"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008086"	0	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008097"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008098"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008099"	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008100"	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008102"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008103"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008108"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008109"	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008110"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008111"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008292"	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008320"	1	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0
"g008321"	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
"g008469"	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0
"g008476"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g008504"	0	1	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
"g008529"	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0
"g008599"	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	0
"g008608"	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0
